PPMXL,RAJ2000[deg],DEJ2000[deg],pmRA[mas/yr],pmDE[mas/yr],e_pmRA[mas/yr],e_pmDE[mas/yr],Jmag[mag],e_Jmag[mag],Kmag[mag],e_Kmag[mag],Chi_squared
510615000000000000,56.158907,49.932516,11.8,-30.8,5.4,5.4,15.103,0.045,14.208,0.066,4.607508677667019
407368000000000000,46.03688,49.587798,27.3,-30.5,4.0,4.0,15.031,0.039,13.912,0.039,2.1956515126150062
407375000000000000,46.144212,49.640968,20.4,-15.6,5.3,5.3,15.094,0.041,14.003,0.045,4.313533691289647
407408000000000000,46.569727,49.663002,23.7,-23.1,4.0,4.0,14.4,0.033,13.277,0.036,0.749820509769271
407428000000000000,46.853716,49.635387,20.2,-18.5,4.0,4.0,11.176,0.023,10.731,0.018,4.2094108512872594
407431000000000000,46.863964,49.594201,19.1,-20.5,4.0,4.0,15.079,0.039,14.132,0.048,2.940878484373917
407425000000000000,46.880608,49.57678,32.7,-25.2,5.4,5.4,15.133,0.048,14.231,0.048,3.3792763780085173
410437000000000000,47.216323,49.507271,10.4,-30.6,5.3,5.3,14.857,0.039,13.791,0.034,5.848919748515285
407435000000000000,47.222131,49.587457,31.5,-16.5,5.4,5.4,12.674,0.025,11.744,0.018,5.919022292376378
410533000000000000,47.474129,49.540124,32.7,-27.1,4.0,4.0,13.649,0.025,12.998,0.026,5.9506600389032585
410535000000000000,47.487666,49.553281,26.3,-21.0,5.4,5.4,15.456,0.218,14.376,0.199,1.4405461818888723
410540000000000000,47.508012,49.660432,11.7,-27.4,5.4,5.4,13.911,0.027,13.333,0.027,4.092314154061897
410538000000000000,47.516412,49.539922,21.8,-17.8,4.1,4.1,15.471,0.054,14.397,0.059,4.366380503884046
410541000000000000,47.535251,49.647101,15.6,-24.3,4.0,4.0,14.159,0.029,13.112,0.028,3.324110798381221
410567000000000000,47.689193,49.738335,22.3,-30.0,4.0,4.0,13.68,0.025,12.718,0.026,0.7376506168587023
410544000000000000,47.765517,49.662761,14.2,-29.8,4.0,4.0,14.119,0.03,13.233,0.03,4.98637499475412
410568000000000000,47.799303,49.681445,19.5,-16.9,5.4,5.4,15.379,0.048,14.403,0.062,3.4350200511645466
410560000000000000,47.931472,49.549025,10.2,-9.4,9.2,9.2,11.469,0.023,10.655,0.018,5.266263410801601
410572000000000000,47.936376,49.627246,12.7,-27.6,4.0,4.0,11.52,0.022,11.072,0.022,6.072358968008938
410572000000000000,47.958136,49.58183,12.8,-25.9,4.0,4.0,13.786,0.028,12.807,0.029,5.904605346124047
410575000000000000,48.163577,49.657938,16.9,-23.4,4.0,4.0,14.854,0.037,13.902,0.045,2.604655364550575
410588000000000000,48.251021,49.605155,23.6,-18.6,5.5,5.5,15.437,0.055,14.935,0.103,2.0419068406398613
410583000000000000,48.280723,49.744158,20.6,-21.6,5.3,5.3,14.744,0.03,13.772,0.037,0.9928021130751334
410594000000000000,48.297236,49.617711,21.7,-17.0,4.0,4.0,14.133,0.032,13.156,0.026,5.458614564754403
410599000000000000,48.525569,49.532407,23.3,-37.6,5.4,5.4,15.371,0.053,14.47,0.073,4.121054896816203
412099000000000000,48.547105,49.687288,19.1,-18.8,4.0,4.0,14.865,0.04,13.962,0.049,4.332302907148877
410600000000000000,48.577312,49.608843,12.8,-21.7,8.2,7.3,9.341,0.02,8.266,0.024,1.8780436909103404
412102000000000000,48.611158,49.633052,9.6,-22.4,9.3,7.3,7.779,0.018,6.689,0.017,2.288346853521033
412102000000000000,48.633074,49.688192,21.1,-20.9,4.0,4.0,13.094,0.021,12.519,0.026,2.036011152670497
412102000000000000,48.651411,49.605921,18.0,-22.6,4.0,4.0,15.061,0.044,14.13,0.062,2.246717337769156
412102000000000000,48.65422,49.615646,8.4,-12.4,9.4,9.2,12.223,0.021,11.864,0.022,4.6353311161164825
412103000000000000,48.735519,49.631939,24.5,-34.1,9.2,9.6,11.812,0.021,11.257,0.02,0.6566412391703881
412111000000000000,48.834612,49.708962,22.8,-24.3,4.1,4.1,15.366,0.056,14.338,0.071,0.27821598461454095
412111000000000000,48.837771,49.710622,26.4,-17.9,4.0,4.0,11.258,0.02,10.853,0.016,5.2259548473464825
412111000000000000,48.863627,49.675083,24.4,-29.9,4.1,4.1,14.131,0.029,13.204,0.029,0.8126820364655858
412153000000000000,48.94544,49.58797,14.4,-29.8,4.1,4.1,14.577,0.041,13.571,0.046,4.564642825503407
412112000000000000,48.990964,49.687646,18.9,-17.7,4.0,4.0,14.386,0.039,13.488,0.039,5.505385133587177
412115000000000000,49.098187,49.719376,25.7,-24.9,4.0,4.0,14.31,0.032,13.453,0.039,0.6808577832760516
412162000000000000,49.208202,49.598961,17.7,-23.5,5.5,5.5,14.883,0.037,14.144,0.059,1.1079662211010866
412162000000000000,49.208262,49.598951,25.2,-23.5,4.1,4.1,14.883,0.037,14.144,0.059,0.8627597755657708
412186000000000000,49.208563,49.749889,28.9,-21.1,5.4,5.4,15.388,0.057,14.507,0.084,2.2503667381939665
412164000000000000,49.212011,49.501579,17.3,-19.7,4.0,4.0,13.67,0.024,12.779,0.027,4.525589441610844
412165000000000000,49.226761,49.509891,14.1,-20.4,9.3,9.3,11.247,0.021,10.855,0.02,1.281439173649979
412165000000000000,49.23726,49.555394,15.3,-25.7,4.1,4.1,14.718,0.034,13.757,0.043,3.178855208949245
412188000000000000,49.313768,49.718635,30.6,-27.6,4.0,4.0,14.507,0.033,13.568,0.035,3.765806323429489
412189000000000000,49.320493,49.628523,15.1,-27.9,4.1,4.1,12.1,0.022,11.212,0.018,3.4228703740192294
412189000000000000,49.320538,49.628526,26.2,-26.5,4.0,4.0,12.1,0.022,11.212,0.018,0.718321963412506
412190000000000000,49.42922,49.620174,20.7,-19.0,4.0,4.0,14.37,0.033,13.537,0.039,3.610461219806355
412192000000000000,49.448893,49.649539,26.1,-28.0,4.0,4.0,13.54,0.023,12.668,0.027,0.8099540982685491
412205000000000000,49.622401,49.587108,17.5,-21.8,4.0,4.0,14.045,0.028,13.354,0.035,2.955196005445174
412212000000000000,49.760029,49.560406,19.7,-24.7,5.5,5.5,12.127,0.022,11.227,0.022,0.40167443369681455
412212000000000000,49.760088,49.560411,26.8,-25.0,4.1,4.1,12.127,0.022,11.227,0.022,1.0724034015260835
412214000000000000,49.768696,49.652096,35.0,-25.0,7.5,7.5,12.215,0.032,11.436,0.042,2.6806844462368318
412212000000000000,49.784851,49.620209,10.1,-18.6,6.8,7.8,8.26,0.024,7.24,0.024,4.409454948033524
412296000000000000,49.842259,49.703665,28.9,-28.4,5.5,5.5,15.211,0.043,14.259,0.058,1.3427089261916207
412214000000000000,49.876382,49.677527,14.5,-25.3,4.1,4.1,11.248,0.02,10.418,0.018,3.9377605824038406
412308000000000000,49.879905,49.688112,20.2,-26.8,4.1,4.1,13.52,0.022,12.586,0.024,0.36903879325532785
412215000000000000,49.91319,49.614129,17.2,-29.6,4.1,4.1,13.737,0.028,12.9,0.03,2.283601809490061
412215000000000000,49.951048,49.617858,15.8,-28.5,4.1,4.1,13.897,0.028,13.35,0.035,2.958285530821619
412309000000000000,49.980886,49.643072,22.3,-30.6,4.1,4.1,14.563,0.035,13.72,0.041,0.9624600015924988
412310000000000000,49.990037,49.737458,17.2,-21.5,4.1,4.1,13.013,0.021,12.449,0.018,3.168612035042391
412309000000000000,49.992042,49.685611,17.9,-24.4,4.1,4.1,14.209,0.029,13.618,0.041,1.5809200794797635
412311000000000000,50.071692,49.748732,11.6,-23.9,5.2,5.2,15.128,0.044,14.2,0.065,4.700590299776965
412318000000000000,50.247959,49.703117,16.5,-26.8,5.2,5.2,12.093,0.024,11.197,0.023,1.3990378753408825
412317000000000000,50.386407,49.576874,20.0,-14.1,5.2,5.2,15.135,0.048,14.193,0.057,5.807390142952264
412513000000000000,50.590896,49.650614,19.7,-22.7,4.1,4.1,14.581,0.034,13.678,0.044,1.3485138448375493
412512000000000000,50.619856,49.505176,26.3,-28.5,5.7,5.7,15.394,0.054,14.975,0.123,0.5023655490620464
412349000000000000,50.621432,49.691686,22.4,-21.9,4.1,4.1,15.04,0.048,14.157,0.061,1.2155802101352449
412537000000000000,50.649044,49.634548,17.9,-27.8,4.1,4.1,11.794,0.022,10.884,0.016,1.4222646969669095
412537000000000000,50.670444,49.678199,15.1,-30.7,4.1,4.1,11.072,0.026,10.419,0.021,4.3119778691343
412538000000000000,50.701594,49.656441,17.0,-29.5,4.1,4.1,12.535,0.023,11.646,0.019,2.3771561311726748
412540000000000000,50.833733,49.643346,19.7,-18.8,4.1,4.1,14.138,0.027,13.554,0.039,3.9052100519887225
412539000000000000,50.836624,49.587724,25.9,-35.2,5.5,5.5,14.458,0.034,13.884,0.055,2.7590329067406194
412540000000000000,50.840431,49.628262,11.7,-27.7,5.5,5.5,15.315,0.045,14.351,0.067,3.9686027354983375
412542000000000000,50.9233,49.56436,17.2,-18.2,4.1,4.1,13.406,0.025,12.922,0.029,5.669995103096546
412541000000000000,50.951337,49.638452,18.9,-27.7,4.1,4.1,13.52,0.024,12.578,0.023,0.9153414016209634
412549000000000000,51.074087,49.740045,13.8,-20.3,7.9,7.9,11.431,0.021,10.666,0.018,1.8727874637228887
412549000000000000,51.086686,49.710351,18.1,-26.8,4.1,4.1,13.294,0.022,12.475,0.025,1.2246852536080035
412564000000000000,51.216191,49.561395,18.0,-33.7,5.5,5.5,14.443,0.032,13.505,0.041,2.388345799910839
412928000000000000,51.239785,49.713274,23.7,-24.0,4.1,4.1,14.946,0.043,14.1,0.059,0.4120601236641217
412566000000000000,51.27847,49.589941,24.9,-27.7,4.1,4.1,12.132,0.022,11.447,0.019,0.3485524454416155
412567000000000000,51.395685,49.517139,17.9,-18.8,4.1,4.1,15.066,0.045,14.205,0.065,4.710323521067578
412567000000000000,51.468692,49.538455,23.6,-34.7,4.1,4.1,14.165,0.026,13.304,0.035,3.860140086798558
412950000000000000,51.618429,49.691454,22.1,-30.0,4.1,4.1,12.565,0.022,11.692,0.02,0.7157133234806863
412951000000000000,51.652755,49.636936,25.2,-27.1,4.0,4.0,13.24,0.024,12.373,0.024,0.38472372245222564
412954000000000000,51.761383,49.686347,21.7,-27.4,4.0,4.0,13.551,0.022,12.681,0.023,0.11054319393766068
412957000000000000,51.852871,49.636441,21.4,-19.9,4.0,4.0,14.658,0.041,13.79,0.051,2.712036772585
412978000000000000,51.86177,49.736003,23.5,-25.6,4.0,4.0,14.515,0.039,13.595,0.038,0.08477165600939883
412958000000000000,51.989345,49.567301,25.5,-21.9,4.2,4.2,15.24,0.059,14.8,0.114,1.5717820799407498
412983000000000000,52.037618,49.720686,19.6,-29.5,4.0,4.0,13.206,0.025,12.315,0.029,1.1177808013005666
413030000000000000,52.178899,49.517384,21.1,-20.4,4.0,4.0,14.571,0.037,13.971,0.048,2.3855972921603477
413030000000000000,52.187371,49.607914,30.0,-20.5,4.0,4.0,14.135,0.033,13.357,0.039,5.307803342803831
413032000000000000,52.210496,49.624556,27.7,-26.3,4.0,4.0,14.745,0.039,14.07,0.052,1.4761960787843589
413030000000000000,52.238355,49.567207,17.5,-23.5,4.0,4.0,12.362,0.025,11.433,0.018,2.172266228198622
413036000000000000,52.376438,49.508819,12.0,-24.7,5.4,5.4,13.126,0.026,12.311,0.027,3.9571658241800125
413135000000000000,52.578868,49.726348,14.2,-28.0,4.0,4.0,13.532,0.027,12.629,0.025,4.473091864349568
413044000000000000,52.593921,49.506014,23.1,-36.5,5.3,5.3,15.113,0.048,14.14,0.064,3.4636992415566277
413136000000000000,52.633186,49.717748,16.3,-26.2,5.3,5.3,13.602,0.027,12.69,0.03,1.436296469469248
413046000000000000,52.731583,49.522106,17.6,-37.3,5.4,5.4,14.19,0.038,13.533,0.042,4.770328327317
413139000000000000,52.783766,49.740031,26.7,-24.3,4.0,4.0,13.5,0.026,12.67,0.019,1.2316050938170575
413141000000000000,52.818744,49.550942,17.0,-29.6,4.0,4.0,12.579,0.023,11.682,0.023,2.528295252170537
413142000000000000,52.873257,49.658462,16.0,-23.3,4.0,4.0,12.878,0.023,12.024,0.024,3.3167134124944044
413153000000000000,52.936989,49.551011,19.2,-27.3,4.0,4.0,10.999,0.027,10.31,0.021,0.7806031800724733
413162000000000000,53.140135,49.549883,12.5,-31.8,5.5,5.5,15.367,0.049,14.516,0.065,4.276863760315029
